City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
490,Puerto Leguizamo,CO,84.78,overcast clouds,-0.1934,-74.7819,la casona de juancho
491,Itarema,BR,79.29,heavy intensity rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
493,Cap Malheureux,MU,80.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
496,Kutum,SD,79.27,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
497,Poya,NC,79.38,overcast clouds,-21.35,165.15,
502,Pemangkat,ID,77.52,overcast clouds,1.1667,108.9667,Ramah Kost KITA
504,Road Town,VG,82.44,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
506,Quepos,CR,86.2,broken clouds,9.4236,-84.1652,Jungle Beach Hotel at Manuel Antonio
509,Abu Dhabi,AE,75.31,clear sky,24.4667,54.3667,Beach Rotana
514,Bubaque,GW,75.2,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
518,Pemba,MZ,81.3,thunderstorm,-12.974,40.5178,Guesthouse Samotina
519,Makakilo City,US,78.19,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
522,Hurghada,EG,82.44,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
527,Isangel,VU,80.24,overcast clouds,-19.55,169.2667,Tanna Lodge
535,Fonte Boa,BR,79.05,overcast clouds,-2.4959,-66.2662,
539,Tanout,NE,86.79,overcast clouds,14.9709,8.8879,
544,Boa Vista,BR,82.38,overcast clouds,2.8197,-60.6733,Aipana Plaza Hotel
547,Sorong,ID,78.03,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
550,Nainpur,IN,82.33,clear sky,22.4333,80.1167,Railway Rest House
551,Tubuala,PA,81.7,overcast clouds,9.5167,-79.0333,Río Nabagana
555,Tadine,NC,80.04,overcast clouds,-21.55,167.8833,
558,Sinnamary,GF,79.23,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
560,Sao Jose Da Coroa Grande,BR,79.66,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
568,Jhinjhak,IN,80.47,clear sky,26.5667,79.7333,Marriage lawn
573,Havelock,US,75.15,clear sky,34.8791,-76.9013,Sherwood Motel
575,Gberia Fotombu,SL,84.76,overcast clouds,9.8833,-11.1667,
579,Miri,MY,75.34,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
581,Cabangahan,PH,79.27,overcast clouds,9.0781,122.9469,Centralle District Beach Resort
582,Puerto Ayacucho,VE,87.48,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
590,Benjamin Constant,BR,77.13,broken clouds,-4.3831,-70.0311,CASA AVALIADA
591,San Juan De Colon,VE,83.79,broken clouds,8.0313,-72.2605,Hotel San Francisco de Padua C.A
594,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
597,Thinadhoo,MV,82.89,clear sky,0.5333,72.9333,
599,Jizan,SA,85.14,clear sky,17.3333,42.6667,شهدان. ابوالحجر
600,Paka,MY,75.7,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
